M_H,M_K,M_J,M_NCD,M_P_RGB,M_P_L,Q_F,Size,Artist,Pntg_num,Genre,Size_tolerance,Artistic_style,true_label
0.74818,0.93293,0.91628,0.46043,0.236845,0.248094,75,658296,francisco-goya,75,Capriccio,0.2,Romanticism,H
0.58567,0.95769,0.90947,0.5682,0.276555,0.214592,67,643500,francisco-goya,63,Capriccio,0.2,Romanticism,H
0.39268,0.92892,0.86673,0.46242,0.279628,0.211417,75,660340,camille-corot,91,Landscape,0.2,Realism,H
0.38893,0.91731,0.89258,0.42935,0.247914,0.173471,75,549000,vasily-polenov,57,Landscape,0.2,Realism,H
0.34871,0.92051,0.94174,0.45095,0.243983,0.148537,75,676000,vasily-polenov,71,Cityscape,0.2,Realism,H
0.45101,0.93248,0.93777,0.48996,0.220993,0.12747,75,553000,vasily-polenov,65,Sketch and study,0.2,Realism,H
0.37173,0.93596,0.88711,0.51378,0.222746,0.183967,75,604000,camille-corot,47,Landscape,0.2,Realism,H
0.30965,0.91009,0.96434,0.42841,0.252854,0.084104,75,600000,ivan-shishkin,88,Landscape,0.2,Realism,H
0.41201,0.94827,0.84736,0.54927,0.277923,0.24048,75,576000,isaac-levitan,33,Landscape,0.2,Realism,H
0.30931,0.921,0.91113,0.44959,0.273356,0.146015,75,703000,isaac-levitan,6,Landscape,0.2,Realism,H
0.50146,0.90053,0.98596,0.38558,0.140731,0.052216,75,670000,aleksey-savrasov,57,Landscape,0.2,Realism,H
0.35327,0.94507,0.8109,0.54446,0.330606,0.324013,85,643000,ivan-aivazovsky,67,Landscape,0.2,Romanticism,H
0.39245,0.91549,0.94406,0.42816,0.23573,0.121925,75,561000,vasily-polenov,99,Landscape,0.2,Realism,H
0.74824,0.93224,0.91707,0.45229,0.233575,0.243447,75,658296,francisco-goya,1,Capriccio,0.2,Romanticism,H
0.37979,0.93622,0.82741,0.48006,0.31374,0.296731,85,650000,ivan-aivazovsky,88,Landscape,0.2,Romanticism,H
0.33993,0.92481,0.92791,0.46771,0.234704,0.131342,75,674000,isaac-levitan,47,Landscape,0.2,Realism,H
0.50052,0.76568,0.87339,0.25197,0.294825,0.272727,100,676275,francisco-goya,23,Portrait,0.2,Romanticism,H
0.44929,0.93782,0.88631,0.50664,0.245214,0.200205,75,629000,vasily-polenov,98,Landscape,0.2,Realism,H
0.35876,0.91059,0.92665,0.41898,0.242883,0.128054,75,563456,eugene-boudin,76,Landscape,0.2,Impressionism,H
0.43694,0.932,0.94453,0.48672,0.21864,0.112817,75,543000,vasily-polenov,47,Sketch and study,0.2,Realism,H
0.36885,0.94694,0.85232,0.53388,0.30496,0.224338,75,598000,isaac-levitan,3,Landscape,0.2,Realism,H
0.46449,0.94298,0.92499,0.54425,0.232623,0.165899,75,681075,camille-corot,81,Portrait,0.2,Realism,H
0.30331,0.67228,0.93941,0.20276,0.280559,0.136915,100,687600,francisco-goya,51,Genre painting,0.2,Romanticism,H
0.38124,0.89112,0.98468,0.37458,0.181703,0.039513,75,672000,ivan-shishkin,52,Landscape,0.2,Realism,H
0.33204,0.89791,0.97608,0.39713,0.225237,0.067643,70,657186,vasily-polenov,72,Landscape,0.2,Realism,H
0.38139,0.92352,0.87424,0.45548,0.275239,0.199294,75,529624,camille-corot,8,Landscape,0.2,Realism,H
0.30131,0.91756,0.93573,0.45376,0.264653,0.124039,75,654264,alfred-sisley,2,Cityscape,0.2,Impressionism,H
0.29806,0.92155,0.89904,0.4521,0.307766,0.197476,75,562000,vasily-polenov,21,Landscape,0.2,Realism,H
0.34416,0.9303,0.86919,0.46818,0.290843,0.191455,75,524800,alfred-sisley,23,Landscape,0.2,Impressionism,H
0.36607,0.92964,0.90378,0.48847,0.247539,0.18221,75,617185,camille-corot,39,Landscape,0.2,Realism,H
0.38637,0.93827,0.87136,0.49476,0.25191,0.19961,75,528800,alfred-sisley,50,Landscape,0.2,Impressionism,H
0.36812,0.64762,0.94214,0.1913,0.240883,0.128003,100,563125,eugene-boudin,39,Landscape,0.2,Impressionism,H
0.40464,0.97418,0.88397,0.70318,0.310693,0.232724,65,659192,ivan-aivazovsky,63,Marina,0.2,Romanticism,H
0.39613,0.66953,0.89652,0.1941,0.252495,0.196179,100,653790,camille-corot,20,Landscape,0.2,Realism,H
0.53989,0.92834,0.86287,0.44337,0.250365,0.213816,75,659000,aleksey-savrasov,25,Landscape,0.2,Realism,H
0.34801,0.90678,0.9278,0.40856,0.238159,0.156989,75,604406,camille-corot,42,Landscape,0.2,Realism,H
0.35366,0.75408,0.85296,0.23374,0.304079,0.254403,99,528704,ilya-repin,100,Genre painting,0.2,Realism,H
0.3727,0.91241,0.95204,0.43813,0.213469,0.104899,75,641000,ivan-shishkin,60,Landscape,0.2,Realism,H
